# The Role of Aging in the Labor Force Participation Rate Decline
# Nicolas Petrosky-Nadeau, July 2026
#
# Monthly data, January 1990 to February 2026, percent.
#   lfpr_actual: U.S. labor force participation rate, 16 and older,
#     seasonally adjusted.
#   lfpr_age_constant_2000: counterfactual participation rate holding the
#     age distribution of the population fixed at its year-2000 mix, with
#     each age group participating at its actual rate in each month
#     (age-only demographic counterfactual).
#   Source: Bureau of Labor Statistics, Current Population Survey, and
#   author's calculations.
#
date,lfpr_actual,lfpr_age_constant_2000
1990-01,66.6234,66.5684
1990-02,66.6635,66.5063
1990-03,66.6584,66.4893
1990-04,66.6654,66.4926
1990-05,66.5879,66.4338
1990-06,66.5147,66.3761
1990-07,66.4570,66.3263
1990-08,66.4758,66.3410
1990-09,66.4709,66.3275
1990-10,66.4320,66.2833
1990-11,66.4005,66.2412
1990-12,66.3230,66.1547
1991-01,66.3164,66.1376
1991-02,66.2999,66.1204
1991-03,66.4219,66.2368
1991-04,66.3534,66.1682
1991-05,66.3245,66.1375
1991-06,66.1725,65.9975
1991-07,66.1092,65.9417
1991-08,66.0987,65.9294
1991-09,66.0860,65.8963
1991-10,66.1487,65.9321
1991-11,66.1062,65.8701
1991-12,66.1989,65.9533
1992-01,66.2831,66.0371
1992-02,66.3840,66.1404
1992-03,66.4375,66.1928
1992-04,66.4834,66.2343
1992-05,66.6069,66.3489
1992-06,66.6825,66.4207
1992-07,66.6961,66.4347
1992-08,66.6152,66.3460
1992-09,66.4122,66.1390
1992-10,66.3321,66.0472
1992-11,66.2885,65.9932
1992-12,66.3401,66.0349
1993-01,66.3348,66.0293
1993-02,66.2717,65.9684
1993-03,66.2114,65.9041
1993-04,66.2574,65.9433
1993-05,66.3381,66.0165
1993-06,66.4406,66.1088
1993-07,66.4276,66.1019
1993-08,66.3476,66.0279
1993-09,66.3235,66.0138
1993-10,66.3313,66.0192
1993-11,66.4209,66.0993
1993-12,66.5288,66.2054
1994-01,66.6185,66.2817
1994-02,66.6123,66.2693
1994-03,66.5450,66.1852
1994-04,66.4919,66.1295
1994-05,66.4576,66.0952
1994-06,66.4630,66.1103
1994-07,66.5354,66.1864
1994-08,66.6731,66.3287
1994-09,66.8167,66.4660
1994-10,66.8707,66.5125
1994-11,66.8855,66.5192
1994-12,66.8498,66.4786
1995-01,66.8131,66.4337
1995-02,66.7752,66.3905
1995-03,66.8214,66.4301
1995-04,66.7809,66.3930
1995-05,66.7536,66.3649
1995-06,66.7058,66.3174
1995-07,66.6984,66.3064
1995-08,66.7524,66.3599
1995-09,66.7257,66.3338
1995-10,66.7095,66.3192
1995-11,66.5911,66.2059
1995-12,66.5119,66.1352
1996-01,66.5142,66.1357
1996-02,66.5917,66.2071
1996-03,66.6686,66.2704
1996-04,66.7546,66.3527
1996-05,66.8232,66.4219
1996-06,66.9418,66.5425
1996-07,66.9356,66.5425
1996-08,66.9880,66.5914
1996-09,67.0060,66.6070
1996-10,67.0916,66.6831
1996-11,67.0830,66.6737
1996-12,67.0661,66.6669
1997-01,67.0319,66.6463
1997-02,67.0985,66.7275
1997-03,67.1189,66.7451
1997-04,67.1984,66.8152
1997-05,67.1908,66.7987
1997-06,67.2191,66.8331
1997-07,67.2473,66.8792
1997-08,67.2755,66.9216
1997-09,67.2598,66.9194
1997-10,67.2626,66.9338
1997-11,67.2772,66.9622
1997-12,67.2562,66.9546
1998-01,67.1694,66.8834
1998-02,67.0928,66.8271
1998-03,67.0246,66.7698
1998-04,67.0230,66.7680
1998-05,67.0092,66.7567
1998-06,67.0373,66.8036
1998-07,67.0279,66.8211
1998-08,67.0872,66.9029
1998-09,67.1386,66.9645
1998-10,67.1866,67.0195
1998-11,67.1789,67.0123
1998-12,67.2054,67.0463
1999-01,67.1860,67.0442
1999-02,67.0999,66.9778
1999-03,67.0187,66.9163
1999-04,67.0023,66.9067
1999-05,67.0663,66.9725
1999-06,67.1031,67.0067
1999-07,67.1047,67.0105
1999-08,67.0714,66.9947
1999-09,67.0616,66.9990
1999-10,67.0821,67.0301
1999-11,67.1172,67.0601
1999-12,67.1777,67.1451
2000-01,67.2146,67.2146
2000-02,67.2288,67.2708
2000-03,67.2415,67.3054
2000-04,67.1869,67.2629
2000-05,67.1722,67.2616
2000-06,67.0440,67.1331
2000-07,67.0228,67.1198
2000-08,66.9310,67.0359
2000-09,66.9274,67.0391
2000-10,66.9053,67.0199
2000-11,66.9755,67.0865
2000-12,67.0764,67.1851
2001-01,67.1008,67.2140
2001-02,67.1140,67.2290
2001-03,67.0161,67.1370
2001-04,66.9198,67.0505
2001-05,66.7765,66.9249
2001-06,66.7302,66.8989
2001-07,66.6676,66.8492
2001-08,66.6899,66.8857
2001-09,66.6825,66.8984
2001-10,66.7285,66.9667
2001-11,66.7156,66.9742
2001-12,66.6566,66.9279
2002-01,66.6843,66.9692
2002-02,66.6711,66.9685
2002-03,66.7018,67.0173
2002-04,66.6727,67.0040
2002-05,66.6416,66.9866
2002-06,66.5969,66.9541
2002-07,66.5652,66.9343
2002-08,66.6065,66.9895
2002-09,66.6169,67.0190
2002-10,66.5218,66.9438
2002-11,66.3977,66.8441
2002-12,66.3801,66.8386
2003-01,66.4093,66.8776
2003-02,66.4035,66.8763
2003-03,66.3709,66.8546
2003-04,66.3440,66.8406
2003-05,66.4003,66.9130
2003-06,66.3170,66.8444
2003-07,66.2481,66.7912
2003-08,66.0970,66.6534
2003-09,66.0727,66.6447
2003-10,66.0724,66.6579
2003-11,66.0542,66.6499
2003-12,66.0904,66.7090
2004-01,66.0456,66.6863
2004-02,66.0611,66.7296
2004-03,65.9698,66.6521
2004-04,65.9537,66.6553
2004-05,65.9427,66.6630
2004-06,66.0040,66.7436
2004-07,66.0215,66.7743
2004-08,65.9709,66.7375
2004-09,65.9274,66.7091
2004-10,65.9379,66.7372
2004-11,65.9829,66.7967
2004-12,65.9522,66.7836
2005-01,65.9132,66.7603
2005-02,65.8598,66.7211
2005-03,65.9163,66.7855
2005-04,65.9919,66.8710
2005-05,66.0564,66.9449
2005-06,66.0751,66.9743
2005-07,66.0948,67.0025
2005-08,66.1621,67.0842
2005-09,66.1894,67.1241
2005-10,66.1515,67.0995
2005-11,66.0988,67.0541
2005-12,66.0199,66.9911
2006-01,66.0086,66.9976
2006-02,66.0097,67.0221
2006-03,66.0657,67.0913
2006-04,66.0896,67.1275
2006-05,66.1296,67.1771
2006-06,66.1497,67.2110
2006-07,66.1950,67.2719
2006-08,66.2054,67.2947
2006-09,66.2540,67.3565
2006-10,66.2821,67.3971
2006-11,66.3751,67.5044
2006-12,66.3619,67.5122
2007-01,66.2927,67.4577
2007-02,66.1790,67.3559
2007-03,66.0671,67.2509
2007-04,66.0049,67.1973
2007-05,65.9664,67.1712
2007-06,65.9829,67.1951
2007-07,65.9394,67.1644
2007-08,65.9614,67.1965
2007-09,65.9459,67.1970
2007-10,66.0520,67.3180
2007-11,66.0672,67.3521
2007-12,66.1150,67.4319
2008-01,66.0153,67.3624
2008-02,65.9566,67.3327
2008-03,65.9163,67.3098
2008-04,65.9991,67.4130
2008-05,66.0310,67.4633
2008-06,66.0651,67.5080
2008-07,66.0666,67.5155
2008-08,66.0527,67.5119
2008-09,66.0511,67.5238
2008-10,65.9859,67.4686
2008-11,65.9568,67.4478
2008-12,65.8492,67.3603
2009-01,65.8125,67.3503
2009-02,65.7045,67.2642
2009-03,65.6661,67.2430
2009-04,65.6134,67.2057
2009-05,65.6263,67.2443
2009-06,65.5865,67.2185
2009-07,65.4903,67.1423
2009-08,65.3009,66.9654
2009-09,65.1105,66.7886
2009-10,64.9781,66.6668
2009-11,64.8639,66.5631
2009-12,64.8732,66.6026
2010-01,64.8704,66.6279
2010-02,64.9559,66.7439
2010-03,64.9934,66.7957
2010-04,64.9581,66.7710
2010-05,64.8269,66.6481
2010-06,64.6515,66.4775
2010-07,64.6121,66.4456
2010-08,64.6179,66.4661
2010-09,64.5688,66.4429
2010-10,64.4985,66.3951
2010-11,64.4357,66.3476
2010-12,64.3983,66.3460
2011-01,64.2903,66.2796
2011-02,64.2152,66.2524
2011-03,64.1697,66.2203
2011-04,64.1537,66.2135
2011-05,64.0920,66.1572
2011-06,64.0070,66.0767
2011-07,64.0025,66.0845
2011-08,64.0673,66.1557
2011-09,64.1389,66.2404
2011-10,64.1147,66.2363
2011-11,64.0688,66.2190
2011-12,63.9461,66.1860
2012-01,63.8734,66.1888
2012-02,63.7714,66.1542
2012-03,63.7275,66.1225
2012-04,63.7090,66.1157
2012-05,63.7190,66.1455
2012-06,63.7310,66.1758
2012-07,63.6553,66.1231
2012-08,63.6169,66.1072
2012-09,63.6795,66.1922
2012-10,63.6921,66.2165
2012-11,63.7057,66.2471
2012-12,63.6454,66.1853
2013-01,63.5947,66.1454
2013-02,63.4216,65.9782
2013-03,63.3153,65.8956
2013-04,63.3151,65.9222
2013-05,63.3983,66.0227
2013-06,63.3934,66.0436
2013-07,63.3321,65.9961
2013-08,63.2708,65.9575
2013-09,63.1210,65.8154
2013-10,63.0372,65.7562
2013-11,62.9157,65.6571
2013-12,62.9262,65.6991
2014-01,62.9082,65.6998
2014-02,62.9585,65.7752
2014-03,62.9221,65.7508
2014-04,62.9050,65.7465
2014-05,62.8325,65.6800
2014-06,62.8725,65.7287
2014-07,62.8680,65.7415
2014-08,62.8714,65.7588
2014-09,62.9015,65.8108
2014-10,62.9143,65.8335
2014-11,62.8923,65.8276
2014-12,62.8452,65.7854
2015-01,62.7593,65.7160
2015-02,62.6925,65.6565
2015-03,62.6571,65.6383
2015-04,62.7535,65.7522
2015-05,62.7786,65.7977
2015-06,62.7291,65.7598
2015-07,62.6006,65.6436
2015-08,62.5184,65.5780
2015-09,62.5071,65.5904
2015-10,62.5180,65.6131
2015-11,62.6248,65.7413
2015-12,62.6650,65.7890
2016-01,62.7216,65.8527
2016-02,62.7750,65.9079
2016-03,62.8258,65.9726
2016-04,62.8159,65.9905
2016-05,62.7691,65.9588
2016-06,62.7586,65.9554
2016-07,62.7990,66.0040
2016-08,62.8552,66.0789
