# Sex x age cell population shares and participation rates, monthly
#   1976-02 to 2026-02
# Nicolas Petrosky-Nadeau
# Suggested citation: Petrosky-Nadeau, 2026, "Labor Market Trends and Projections" (methodology note).
# For each of ten sex x age cells (Men/Women x 16-24, 25-34, 35-44, 45-54, 55+):
#   share_{sex}_{age}: cell population share (fraction, sums to ~1 across cells each month)
#   lfpr_{sex}_{age}: cell labor force participation rate (percent)
# Method: BLS CPS microdata (10 sex x age cells), seasonally adjusted and smoothed with a
#   3-month moving average.
#   The composition-constant counterfactual for a base month t0 is
#   cf_t = sum_j share_j(t0) * lfpr_j(t); the composition effect is actual - cf. Age-only
#   or sex-only breakdowns sum the cells over the other dimension before freezing.
date,share_M_16_24,share_M_25_34,share_M_35_44,share_M_45_54,share_M_55_pl,share_F_16_24,share_F_25_34,share_F_35_44,share_F_45_54,share_F_55_pl,lfpr_M_16_24,lfpr_M_25_34,lfpr_M_35_44,lfpr_M_45_54,lfpr_M_55_pl,lfpr_F_16_24,lfpr_F_25_34,lfpr_F_35_44,lfpr_F_45_54,lfpr_F_55_pl
1976-02,0.111323,0.097387,0.070694,0.073880,0.119017,0.116771,0.103534,0.076491,0.079519,0.151383,72.8063,95.2991,95.4337,91.3511,48.3842,58.3173,56.3597,57.7586,54.7734,23.3857
1976-03,0.111343,0.097542,0.070663,0.073749,0.119003,0.116754,0.103696,0.076464,0.079371,0.151416,72.9923,95.3171,95.4526,91.4412,48.2607,58.5945,56.3639,57.8387,54.9274,23.1996
1976-04,0.111370,0.097700,0.070632,0.073617,0.118987,0.116736,0.103856,0.076436,0.079221,0.151445,73.1460,95.3510,95.4452,91.4527,48.1853,58.8272,56.7848,57.3207,54.9275,22.9726
1976-05,0.111414,0.097858,0.070607,0.073483,0.118963,0.116716,0.104012,0.076408,0.079072,0.151468,73.1267,95.3384,95.3174,91.5931,48.0466,58.7044,57.0679,57.1927,55.1652,22.8794
1976-06,0.111421,0.098024,0.070578,0.073352,0.118957,0.116697,0.104169,0.076378,0.078922,0.151504,73.3475,95.2822,95.2365,91.6718,47.9674,58.6364,57.3509,57.1435,55.1866,23.0654
1976-07,0.111412,0.098178,0.070568,0.073209,0.118973,0.116668,0.104316,0.076363,0.078758,0.151556,73.2970,95.2171,95.2411,91.7149,48.0556,58.5284,57.5356,57.6483,55.2239,23.1868
1976-08,0.111384,0.098331,0.070571,0.073055,0.118999,0.116637,0.104462,0.076365,0.078582,0.151614,73.5441,95.1397,95.4068,91.6795,48.2716,58.4517,57.5770,58.0047,55.1232,23.1162
1976-09,0.111340,0.098476,0.070591,0.072895,0.119070,0.116573,0.104591,0.076380,0.078404,0.151680,73.3503,95.0922,95.4140,91.5417,48.2395,58.4545,57.6118,58.3274,55.1611,22.8956
1976-10,0.111298,0.098623,0.070605,0.072736,0.119139,0.116510,0.104722,0.076395,0.078227,0.151746,73.4948,95.1055,95.3953,91.4493,48.0218,58.5132,57.8795,58.4724,55.1996,22.7923
1976-11,0.111203,0.098766,0.070633,0.072608,0.119321,0.116449,0.104872,0.076435,0.078079,0.151635,73.7658,95.0965,95.3945,91.4276,47.5998,58.7161,58.3111,58.5787,55.2860,22.8818
1976-12,0.111152,0.098914,0.070664,0.072473,0.119447,0.116414,0.105032,0.076477,0.077920,0.151507,73.8712,95.1233,95.4676,91.2350,47.4835,58.9067,58.6781,58.7170,55.2491,22.8988
1977-01,0.111104,0.099064,0.070697,0.072340,0.119566,0.116383,0.105194,0.076522,0.077763,0.151368,74.0962,95.2012,95.5439,91.1844,47.5358,59.3298,58.9150,58.9166,55.2282,22.8854
1977-02,0.111127,0.099208,0.070718,0.072178,0.119552,0.116353,0.105339,0.076546,0.077582,0.151397,74.0506,95.3409,95.6122,91.0161,47.6572,59.9301,59.0306,59.0252,55.5046,22.7952
1977-03,0.111129,0.099358,0.070740,0.072019,0.119540,0.116325,0.105487,0.076571,0.077402,0.151428,73.8859,95.3637,95.6814,91.1179,47.6787,60.1582,59.1724,59.2217,55.8276,22.8837
1977-04,0.111130,0.099506,0.070759,0.071858,0.119548,0.116288,0.105627,0.076590,0.077219,0.151476,73.8233,95.2260,95.7435,91.1278,47.6869,59.9834,59.4104,59.3060,56.0620,23.0140
1977-05,0.111114,0.099657,0.070779,0.071697,0.119577,0.116245,0.105761,0.076606,0.077034,0.151532,74.1615,95.2302,95.7528,91.1963,47.6072,60.1060,59.6351,59.4418,56.0414,22.9932
1977-06,0.111084,0.099800,0.070797,0.071537,0.119619,0.116200,0.105895,0.076621,0.076849,0.151599,74.7274,95.2461,95.6363,91.0793,47.5260,59.8819,59.7785,59.7930,55.5326,22.8412
1977-07,0.111042,0.099918,0.070849,0.071383,0.119649,0.116149,0.106006,0.076674,0.076672,0.151657,75.0974,95.4444,95.5567,91.0195,47.2439,60.3105,59.8273,59.9403,55.4077,22.6676
1977-08,0.110993,0.100013,0.070938,0.071231,0.119673,0.116089,0.106090,0.076761,0.076500,0.151712,74.9514,95.3266,95.5458,90.9833,47.2901,60.2649,60.0035,60.0236,55.4722,22.7906
1977-09,0.110935,0.100083,0.071062,0.071083,0.119697,0.116016,0.106146,0.076881,0.076331,0.151766,74.9549,95.3760,95.7117,91.2226,47.5726,60.7447,60.1635,59.8371,56.0394,22.9704
1977-10,0.110860,0.100149,0.071201,0.070943,0.119719,0.115932,0.106221,0.077013,0.076160,0.151803,74.9137,95.3342,95.7762,91.4664,47.8729,60.8630,60.3157,60.1261,56.4814,23.1033
