# Unemployed-to-Employed Flow Rate by Age Group
# Nicolas Petrosky-Nadeau, May 2026
#
# Monthly data: Share of unemployed workers who transition to employment
#   each month, 12-month moving average applied, seasonally adjusted.
#   Ages 16-24 (young) and 25-54 (prime age).
#   Source: Bureau of Labor Statistics, Current Population Survey,
#   via the FRB SF Data Explorer.
#   https://www.frbsf.org/research-and-insights/data-and-indicators/sf-fed-data-explorer/
#
date,young_16_24,prime_age_25_54
2017-02,25.13,25.33
2017-03,25.25,25.42
2017-04,25.06,25.57
2017-05,25.95,25.49
2017-06,26.21,25.82
2017-07,26.53,26.29
2017-08,26.17,26.82
2017-09,26.62,26.88
2017-10,26.93,27.00
2017-11,27.13,27.20
2017-12,27.13,27.56
2018-01,27.39,27.52
2018-02,27.73,27.53
2018-03,28.27,27.80
2018-04,28.57,27.78
2018-05,27.88,27.95
2018-06,27.81,27.87
2018-07,27.98,27.59
2018-08,28.52,28.21
2018-09,28.14,27.98
2018-10,27.70,28.12
2018-11,27.89,28.11
2018-12,28.19,28.01
2019-01,27.90,28.25
2019-02,27.29,28.36
2019-03,27.20,28.20
2019-04,27.09,28.12
2019-05,27.66,28.23
2019-06,27.70,28.11
2019-07,27.92,27.90
2019-08,27.76,27.74
2019-09,27.88,27.63
2019-10,28.20,27.21
2019-11,27.64,27.37
2019-12,27.84,27.55
2020-01,28.49,27.72
2020-02,28.82,27.25
2020-03,28.45,27.27
2020-04,27.59,27.10
2020-05,27.45,27.59
2020-06,27.77,28.51
2020-07,27.65,29.04
2020-08,27.59,28.61
2020-09,26.92,28.40
2020-10,27.19,28.74
2020-11,27.61,28.35
2020-12,27.17,27.80
2021-01,26.87,27.40
2021-02,26.69,27.20
2021-03,26.80,26.92
2021-04,27.83,27.06
2021-05,27.58,26.11
2021-06,27.18,24.74
2021-07,27.32,24.20
2021-08,27.22,24.00
2021-09,28.09,24.18
2021-10,27.83,24.17
2021-11,27.97,24.40
2021-12,28.26,24.96
2022-01,27.94,25.33
2022-02,27.83,26.20
2022-03,27.75,26.99
2022-04,27.98,27.40
2022-05,28.43,27.92
2022-06,29.17,28.68
2022-07,29.16,29.06
2022-08,29.51,29.60
2022-09,28.99,30.06
2022-10,28.78,29.95
2022-11,28.56,30.16
2022-12,28.65,30.17
2023-01,28.55,29.77
2023-02,29.15,29.53
2023-03,29.31,29.02
2023-04,28.81,28.87
2023-05,28.30,28.54
2023-06,27.91,28.34
2023-07,27.58,28.21
2023-08,27.15,27.76
2023-09,27.69,27.90
2023-10,27.67,28.11
2023-11,27.71,28.26
2023-12,27.48,28.17
2024-01,27.68,28.24
2024-02,26.84,28.29
2024-03,26.44,28.40
2024-04,26.37,28.25
2024-05,26.59,28.88
2024-06,26.21,28.70
2024-07,25.94,28.52
2024-08,26.09,28.90
2024-09,25.42,28.46
2024-10,25.41,27.95
2024-11,25.01,27.35
2024-12,24.67,27.10
2025-01,24.45,27.20
2025-02,24.43,26.64
2025-03,24.89,26.47
2025-04,24.56,26.48
2025-05,24.39,26.26
2025-06,24.06,26.45
2025-07,23.84,26.58
2025-08,23.89,26.44
2025-09,23.87,26.18
2025-12,23.97,26.52
2026-01,24.19,26.25
2026-02,23.79,26.07
2026-03,23.89,25.70
