# Job Switching by Age, Indexed to Each Group's 2015-2019 Average
# Nicolas Petrosky-Nadeau, September 2026
#
# Monthly data, January 2012 to June 2026. Each series is an age group's rate of
#   moving directly from one employer to another (an employer-to-employer, or
#   job-to-job, transition), expressed as an index with that group's own
#   2015-2019 average set to 100.
#
#   Levels are not comparable across groups, which is why each group is indexed
#   to itself. The 2015-2019 average monthly transition rate is 4.84% of
#   employment for ages 16-24, 2.14% for ages 25-54, and 1.63% for ages 55 and
#   older. Multiply an index value by the group's base rate and divide by 100 to
#   recover the rate in percent of employment.
#
#   idx_16_24, idx_25_54, idx_55_plus: the indexed rates (2015-2019 = 100).
#   window: "full" where the 12-month moving average is computed on a complete
#     window; "tapered" from April 2025 on, where the window is clipped (about
#     6.5 effective months at June 2026) and computed on seasonally adjusted
#     data, since a shortened window does not cancel a monthly seasonal.
#     October and November 2025 were not collected by the Current Population
#     Survey and fall inside the tapered stretch. Tapered values can revise as
#     further months are added.
#
#   Source: Fujita, Moscarini and Postel-Vinay (2024), "Measuring
#   Employer-to-Employer Reallocation," American Economic Journal:
#   Macroeconomics 16(3), 1-51, replication package applied to matched Current
#   Population Survey microdata (Bureau of Labor Statistics), with author's
#   calculations.
#
date,idx_16_24,idx_25_54,idx_55_plus,window
2012-01,96.91,95.45,98.03,full
2012-02,98.27,95.67,98.15,full
2012-03,98.85,95.24,98.47,full
2012-04,98.01,94.87,98.21,full
2012-05,97.46,94.75,98.09,full
2012-06,97.39,94.62,99.30,full
2012-07,96.91,94.44,98.97,full
2012-08,96.84,93.89,97.98,full
2012-09,97.50,93.69,98.71,full
2012-10,97.48,93.56,99.48,full
2012-11,97.41,93.87,101.13,full
2012-12,97.59,93.89,101.70,full
2013-01,97.35,93.22,101.70,full
2013-02,97.11,93.11,101.55,full
2013-03,96.59,93.38,100.82,full
2013-04,96.70,93.51,100.25,full
2013-05,97.04,93.77,99.43,full
2013-06,97.09,93.53,98.05,full
2013-07,97.77,93.94,98.15,full
2013-08,97.69,94.93,98.16,full
2013-09,96.74,94.92,96.51,full
2013-10,96.25,95.14,95.66,full
2013-11,96.33,95.53,94.69,full
2013-12,96.48,95.36,95.50,full
2014-01,96.81,95.66,96.79,full
2014-02,96.71,96.47,96.82,full
2014-03,97.15,97.36,96.72,full
2014-04,97.82,98.42,97.17,full
2014-05,98.27,99.07,97.96,full
2014-06,98.86,99.75,97.78,full
2014-07,99.13,99.57,97.86,full
