# Women's Labor Force Participation Rate, Ages 25-54: United States and Canada
# Nicolas Petrosky-Nadeau, May 2, 2026
#
# Monthly data, seasonally adjusted, January 1988 - March 2026.
# United States: Bureau of Labor Statistics, series LNS11300062.
# Canada: Statistics Canada, Table 14-10-0287-01.
#
# Update of Figure 1 from:
#   Petrosky-Nadeau, "Why Aren't U.S. Workers Working?"
#   FRBSF Economic Letter 2018-24, November 2018.
#   https://www.frbsf.org/research-and-insights/publications/economic-letter/2018/11/why-are-us-workers-not-participating/
#
date,us_lfpr_women_25_54,ca_lfpr_women_25_54
1988-01,72.2,72.3
1988-02,72.2,72.7
1988-03,72.5,72.7
1988-04,72.3,72.8
1988-05,72.4,72.8
1988-06,72.4,73.4
1988-07,72.6,73.3
1988-08,72.8,73.4
1988-09,72.8,73.2
1988-10,73.0,73.6
1988-11,73.4,73.8
1988-12,73.4,73.6
1989-01,73.6,73.8
1989-02,73.5,73.9
1989-03,73.4,74.3
1989-04,73.5,74.3
1989-05,73.4,74.4
1989-06,73.3,73.9
1989-07,73.4,74.2
1989-08,73.5,74.4
1989-09,74.0,74.7
1989-10,73.8,74.6
1989-11,74.1,74.9
1989-12,74.1,75.2
1990-01,74.1,75.3
1990-02,74.0,75.5
1990-03,74.0,75.0
1990-04,73.9,75.3
1990-05,74.1,75.4
1990-06,73.9,75.4
1990-07,74.0,75.4
1990-08,74.0,75.5
1990-09,74.0,75.7
1990-10,73.9,75.7
1990-11,73.9,75.7
1990-12,73.9,75.5
1991-01,73.7,75.7
1991-02,73.9,75.7
1991-03,74.0,75.9
1991-04,74.3,76.0
1991-05,74.1,75.9
1991-06,74.2,76.1
1991-07,73.9,76.1
1991-08,74.1,76.2
1991-09,74.1,75.6
1991-10,74.2,75.8
1991-11,74.1,75.6
1991-12,74.1,75.5
1992-01,74.4,75.2
1992-02,74.4,75.5
1992-03,74.5,75.4
1992-04,74.7,75.2
1992-05,74.8,75.2
1992-06,74.9,75.3
1992-07,74.8,75.4
1992-08,74.8,75.1
1992-09,74.5,74.9
1992-10,74.4,74.9
1992-11,74.6,75.7
1992-12,74.6,75.5
1993-01,74.3,75.4
1993-02,74.2,75.2
1993-03,74.4,75.3
1993-04,74.1,75.5
1993-05,74.5,75.8
1993-06,74.6,76.0
1993-07,74.6,75.7
1993-08,74.8,75.7
1993-09,74.7,75.9
1993-10,74.8,75.7
1993-11,74.9,75.7
1993-12,75.2,75.8
1994-01,75.0,75.5
1994-02,75.3,75.1
1994-03,75.2,74.8
1994-04,75.1,75.1
1994-05,75.2,75.3
1994-06,74.7,75.2
1994-07,75.1,75.3
1994-08,75.4,75.5
1994-09,76.0,75.7
1994-10,75.5,75.8
1994-11,75.6,75.8
1994-12,75.2,76.0
1995-01,75.3,75.8
1995-02,75.5,76.1
1995-03,75.5,76.3
1995-04,75.9,75.7
1995-05,75.5,75.7
1995-06,75.2,75.6
1995-07,75.7,75.6
1995-08,75.6,75.6
1995-09,75.7,75.7
1995-10,75.8,75.6
1995-11,76.0,75.4
1995-12,75.7,75.6
1996-01,75.8,75.6
1996-02,75.7,75.9
1996-03,75.8,75.9
1996-04,75.9,75.7
1996-05,76.0,75.6
1996-06,76.0,75.9
1996-07,76.3,76.1
1996-08,76.3,76.0
1996-09,76.2,76.4
1996-10,76.4,76.2
1996-11,76.5,76.3
1996-12,76.6,76.5
1997-01,76.5,76.5
1997-02,76.3,76.3
1997-03,76.6,76.4
1997-04,76.5,76.8
1997-05,76.4,76.8
1997-06,76.7,76.9
1997-07,77.0,76.9
1997-08,77.2,77.0
1997-09,77.0,77.0
1997-10,76.8,77.3
1997-11,76.5,77.4
1997-12,76.6,77.1
1998-01,76.4,77.5
1998-02,76.5,77.5
1998-03,76.7,77.5
1998-04,76.3,77.5
1998-05,76.3,77.5
1998-06,76.4,77.4
1998-07,76.5,77.5
1998-08,76.6,77.6
1998-09,76.8,77.7
1998-10,76.7,77.5
1998-11,76.6,77.7
1998-12,76.8,78.0
1999-01,77.0,78.1
1999-02,76.8,78.1
1999-03,76.5,78.0
1999-04,76.6,78.2
1999-05,76.7,78.2
1999-06,76.9,78.3
1999-07,76.6,78.4
1999-08,76.7,78.5
1999-09,76.9,78.2
1999-10,77.0,78.2
1999-11,77.1,78.1
1999-12,76.7,77.9
2000-01,77.0,78.2
2000-02,76.9,78.4
2000-03,77.1,78.5
2000-04,77.3,78.4
2000-05,77.0,78.4
2000-06,76.8,78.5
2000-07,76.6,78.4
2000-08,76.3,78.4
2000-09,76.4,78.6
2000-10,76.3,78.8
2000-11,76.5,78.8
2000-12,76.5,78.8
2001-01,76.9,79.0
2001-02,76.8,78.9
2001-03,76.9,79.0
2001-04,76.3,79.2
2001-05,76.4,79.4
2001-06,76.2,79.0
2001-07,76.2,79.0
2001-08,76.2,79.2
2001-09,76.2,79.2
2001-10,76.1,79.1
2001-11,76.2,79.2
2001-12,76.3,79.3
2002-01,76.1,79.7
2002-02,76.4,79.7
2002-03,76.1,79.9
2002-04,76.2,80.2
2002-05,76.1,80.2
2002-06,75.7,80.4
2002-07,75.5,80.5
2002-08,75.7,80.5
2002-09,75.8,80.9
2002-10,75.7,80.6
2002-11,75.4,80.6
2002-12,75.8,80.8
2003-01,75.8,80.7
2003-02,75.8,80.7
2003-03,76.1,80.8
2003-04,76.0,80.7
2003-05,75.9,80.9
2003-06,76.1,81.0
2003-07,75.6,81.2
2003-08,75.6,81.3
2003-09,75.3,81.4
2003-10,75.3,81.6
2003-11,75.2,81.5
2003-12,75.1,81.6
2004-01,75.2,81.4
2004-02,75.2,81.6
2004-03,75.5,81.6
2004-04,75.4,81.7
2004-05,75.3,81.6
2004-06,75.5,81.8
2004-07,75.4,81.5
2004-08,75.1,81.5
2004-09,75.2,81.3
2004-10,75.1,81.2
2004-11,75.2,81.6
2004-12,75.1,81.5
2005-01,75.3,81.4
2005-02,75.3,81.6
2005-03,75.0,81.4
2005-04,75.2,81.1
2005-05,75.3,81.1
2005-06,75.0,81.1
2005-07,75.3,80.9
2005-08,75.2,81.0
2005-09,75.4,81.0
2005-10,75.2,81.2
2005-11,75.3,80.9
2005-12,75.4,81.0
2006-01,75.3,81.4
2006-02,75.5,81.0
2006-03,75.4,81.0
2006-04,75.3,81.5
2006-05,75.3,81.4
2006-06,75.4,81.4
2006-07,75.7,81.4
2006-08,75.6,81.0
2006-09,75.5,81.1
2006-10,75.6,81.4
2006-11,75.5,81.3
2006-12,75.5,81.7
2007-01,75.6,81.9
2007-02,75.3,81.9
2007-03,75.3,82.2
2007-04,75.0,81.9
2007-05,75.3,81.9
2007-06,75.3,81.8
2007-07,75.4,82.1
2007-08,75.5,82.1
2007-09,75.4,82.2
2007-10,75.3,82.0
2007-11,75.5,82.0
2007-12,75.5,81.8
2008-01,75.7,81.6
2008-02,75.5,81.8
2008-03,75.8,81.6
2008-04,75.8,81.4
2008-05,75.9,81.8
