# Startups: Share of All Firms and Share of Employment
# Nicolas Petrosky-Nadeau, September 2026
#
# Annual, reference years 1979 to 2023. Startups are employer firms in their first year of
# operation. The firm share is age-zero firms as a percent of employer firms of all ages; the
# employment share is employment at age-zero firms as a percent of employment at firms of all
# ages. Both denominators include left-censored firms, those already operating in 1977, whose
# age is unknown but which are part of the firm stock.
#
# Rebuilt end to end from the 2023 data vintage.
#
# Source: Update of Pugsley and Şahin (2019), “Grown-up Business Cycles,” Review of Financial
# Studies 32(3), 1102-1147, figure 1(a), with Census Bureau Business Dynamics Statistics data.
year,startup_firm_share_pct,startup_employment_share_pct,firms_age_zero,firms_all_ages,employment_age_zero,employment_all_ages,employees_per_startup
1979,12.822,3.241,473471,3692635,2421550,74714428,5.11
1980,11.757,2.970,439667,3739767,2229281,75065997,5.07
1981,11.413,3.156,430100,3768498,2391817,75788714,5.56
1982,11.188,3.031,418627,3741859,2272281,74973839,5.43
1983,11.920,3.401,456610,3830757,2518506,74041185,5.52
1984,13.235,3.558,529584,4001390,2799017,78673113,5.29
1985,12.581,3.605,512439,4073155,2941115,81575122,5.74
1986,12.446,3.549,517516,4158219,2977966,83920060,5.75
1987,12.159,3.961,513574,4223952,3401753,85886119,6.62
1988,11.770,3.456,507091,4308236,3055241,88402522,6.03
1989,11.469,3.282,502558,4382013,2998613,91353052,5.97
1990,11.092,3.081,493080,4445528,2886496,93686600,5.85
1991,10.215,2.778,450750,4412581,2540279,91458374,5.64
1992,9.939,2.724,438701,4413841,2490888,91438756,5.68
1993,10.257,2.728,461135,4495611,2539427,93102312,5.51
1994,10.403,2.813,475989,4575281,2690848,95649868,5.65
1995,10.591,2.818,495030,4674006,2789961,99016306,5.64
1996,10.448,2.795,493289,4721540,2795799,100042597,5.67
1997,10.353,2.724,494483,4776424,2808292,103096440,5.68
1998,9.832,2.584,477206,4853548,2782483,107689077,5.83
1999,9.241,2.247,451218,4883018,2467152,109812340,5.47
2000,9.101,2.248,446204,4902719,2553512,113593164,5.72
2001,8.895,2.162,436993,4912908,2459871,113773080,5.63
2002,9.234,2.710,455162,4929332,3029842,111799219,6.66
2003,9.366,2.305,467532,4991927,2591904,112460517,5.54
2004,9.932,2.448,505056,5084924,2793868,114138584,5.53
2005,10.041,2.545,518727,5166062,2937791,115422186,5.66
2006,10.301,2.473,541317,5254916,2949540,119253652,5.45
2007,9.629,2.249,509517,5291526,2693515,119771704,5.29
2008,9.011,2.115,471285,5230315,2528129,119550548,5.36
2009,7.768,1.930,395235,5088072,2193459,113657795,5.55
2010,7.558,2.024,379145,5016353,2251753,111274422,5.94
2011,7.925,1.854,395680,4993099,2092366,112845202,5.29
2012,8.107,1.953,408546,5039673,2251564,115314012,5.51
2013,8.004,1.820,405350,5064208,2139792,117558012,5.28
2014,8.076,1.899,411948,5100719,2279609,120072493,5.53
2015,8.183,1.873,421155,5146908,2307505,123177478,5.48
2016,8.488,1.853,442414,5212130,2329594,125689404,5.27
2017,8.383,1.820,439859,5246978,2318724,127427446,5.27
2018,8.370,1.879,442078,5281916,2436152,129626237,5.51
2019,8.499,1.855,453027,5330349,2445568,131831587,5.40
2020,8.542,1.807,455725,5335214,2398066,132680862,5.26
2021,9.000,1.754,485256,5391471,2232023,127222136,4.60
2022,9.407,1.863,521312,5541603,2499668,134143137,4.79
2023,9.095,1.776,508777,5593727,2440753,137462444,4.80
